,module
Sym_104078_c4_g1,0
Sym_104078_c4_g4,1
Sym_104078_c4_g6,0
Sym_104087_c1_g1,0
Sym_10408_c0_g1,1
Sym_104091_c3_g1,0
Sym_104101_c0_g1,1
Sym_104103_c2_g11,0
Sym_104103_c2_g12,1
Sym_104103_c2_g14,0
Sym_104103_c2_g4,1
Sym_104103_c2_g8,1
Sym_104105_c9_g1,0
Sym_104112_c2_g5,1
Sym_104113_c0_g1,1
Sym_104116_c1_g1,0
Sym_104141_c1_g2,0
Sym_104154_c3_g1,1
Sym_104170_c16_g1,0
Sym_104174_c0_g1,0
Sym_104194_c1_g1,1
Sym_104201_c0_g1,1
Sym_104205_c0_g1,0
Sym_104212_c0_g2,0
Sym_104226_c0_g1,0
Sym_104243_c4_g2,0
Sym_104246_c3_g1,0
Sym_104246_c3_g2,0
Sym_104246_c5_g1,0
Sym_104246_c5_g4,0
Sym_104260_c0_g2,0
Sym_104264_c2_g1,1
Sym_104264_c4_g1,1
Sym_104264_c6_g1,0
Sym_104264_c7_g1,0
Sym_104273_c0_g1,0
Sym_104274_c5_g8,0
Sym_104274_c6_g1,0
Sym_104297_c1_g1,1
Sym_104299_c1_g1,0
Sym_1042_c0_g1,0
Sym_104325_c5_g1,0
Sym_104325_c5_g11,1
Sym_104325_c5_g13,0
Sym_104325_c5_g4,0
Sym_104325_c6_g1,0
Sym_104341_c1_g2,1
Sym_104341_c2_g5,0
Sym_104344_c0_g1,0
Sym_104345_c2_g1,0
Sym_104358_c0_g1,1
Sym_104362_c2_g1,0
Sym_104366_c1_g2,0
Sym_104366_c3_g1,1
Sym_104366_c5_g1,1
Sym_104380_c6_g1,0
Sym_104380_c7_g1,1
Sym_104397_c2_g9,0
Sym_104404_c0_g1,0
Sym_104404_c0_g2,0
Sym_104415_c2_g3,1
Sym_104435_c0_g1,0
Sym_104450_c1_g2,0
Sym_104461_c0_g1,0
Sym_104486_c4_g1,0
Sym_104505_c1_g1,0
Sym_104510_c4_g5,0
Sym_104526_c1_g1,0
Sym_104526_c2_g4,1
Sym_104526_c2_g9,0
Sym_104530_c0_g1,0
Sym_104530_c1_g2,1
Sym_104530_c1_g3,0
Sym_104552_c1_g2,0
Sym_104561_c0_g1,0
Sym_104569_c2_g1,0
Sym_104588_c1_g1,1
Sym_104593_c0_g1,0
Sym_104594_c0_g1,0
Sym_104596_c0_g1,1
Sym_104596_c0_g2,0
Sym_104650_c2_g1,1
Sym_104706_c6_g3,0
Sym_104720_c0_g1,0
Sym_104720_c2_g1,0
Sym_104720_c2_g2,0
Sym_104720_c2_g3,0
Sym_104724_c4_g1,0
Sym_104724_c4_g3,0
Sym_104725_c0_g1,0
Sym_104725_c0_g3,1
Sym_104730_c3_g1,0
Sym_104745_c2_g2,1
Sym_104758_c5_g2,1
Sym_104762_c1_g5,0
Sym_104781_c1_g2,0
Sym_104781_c4_g1,0
Sym_104788_c7_g2,0
Sym_104795_c2_g2,1
Sym_104804_c0_g1,1
Sym_104809_c0_g1,1
Sym_104813_c0_g3,0
Sym_104814_c2_g1,0
Sym_104833_c0_g1,0
Sym_104847_c0_g1,0
Sym_104847_c4_g6,0
Sym_104860_c0_g1,0
Sym_104866_c10_g1,0
Sym_104866_c11_g1,1
Sym_104866_c11_g2,0
Sym_104866_c1_g1,1
Sym_104866_c3_g1,0
Sym_104866_c3_g2,0
Sym_104866_c6_g1,0
Sym_10490_c0_g1,1
Sym_104910_c0_g2,0
Sym_104910_c0_g3,0
Sym_104911_c6_g3,1
Sym_104934_c0_g1,0
Sym_104949_c2_g4,0
Sym_104964_c3_g1,0
Sym_104964_c3_g2,0
Sym_104965_c0_g1,0
Sym_104967_c4_g5,0
Sym_104973_c0_g3,1
Sym_104979_c1_g3,0
Sym_104991_c1_g2,0
Sym_105001_c1_g2,1
Sym_105010_c0_g1,0
Sym_105022_c1_g1,0
Sym_105022_c1_g2,0
Sym_105022_c1_g3,0
Sym_105022_c1_g4,0
Sym_105022_c1_g5,0
Sym_105022_c1_g6,0
Sym_105077_c2_g1,0
Sym_105077_c3_g1,0
Sym_105077_c3_g2,0
Sym_105077_c3_g3,0
Sym_105077_c5_g1,0
Sym_105077_c5_g3,0
Sym_105077_c5_g5,0
Sym_105077_c5_g6,1
Sym_105077_c5_g7,0
Sym_105077_c6_g1,0
Sym_105103_c3_g4,0
Sym_105118_c1_g1,0
Sym_105138_c1_g1,0
Sym_105140_c0_g1,1
Sym_105147_c0_g1,0
Sym_105147_c1_g1,1
Sym_105147_c1_g2,1
Sym_105169_c4_g1,0
Sym_105169_c5_g2,0
Sym_105169_c5_g3,0
Sym_105169_c5_g4,0
Sym_105174_c1_g1,0
Sym_105186_c2_g1,0
Sym_105199_c2_g1,1
Sym_105211_c0_g1,0
Sym_105231_c2_g1,0
Sym_105231_c2_g2,0
Sym_105231_c5_g8,1
Sym_105248_c2_g1,0
Sym_105248_c3_g2,0
Sym_105248_c6_g8,0
Sym_105265_c3_g1,1
Sym_105265_c5_g1,0
Sym_105265_c5_g5,0
Sym_105277_c2_g1,0
Sym_105316_c2_g2,0
Sym_105329_c1_g1,0
Sym_105344_c0_g1,1
Sym_105348_c0_g1,1
Sym_105354_c1_g1,0
Sym_105388_c1_g1,1
Sym_105388_c1_g2,0
Sym_105483_c0_g1,1
Sym_105487_c3_g1,1
Sym_105487_c4_g1,0
Sym_105487_c5_g1,0
Sym_105487_c5_g2,1
Sym_105487_c5_g3,1
Sym_105489_c3_g2,1
Sym_105511_c5_g1,0
Sym_105514_c6_g1,0
Sym_105536_c1_g1,0
Sym_105548_c4_g1,0
Sym_105558_c0_g1,0
Sym_105558_c0_g2,0
Sym_105578_c2_g4,0
Sym_105592_c5_g1,0
Sym_105608_c0_g1,1
Sym_105608_c0_g3,0
Sym_105635_c0_g1,0
Sym_105668_c0_g1,0
Sym_105689_c0_g1,0
Sym_105693_c0_g1,1
Sym_105693_c2_g3,1
Sym_105693_c2_g4,1
Sym_10573_c0_g1,0
Sym_105749_c8_g1,0
Sym_105749_c8_g2,0
Sym_105778_c0_g2,0
Sym_105778_c2_g4,0
Sym_105778_c2_g7,0
Sym_105798_c7_g1,0
Sym_105819_c0_g1,0
Sym_105836_c3_g1,0
Sym_105845_c0_g5,0
Sym_105847_c0_g1,0
Sym_105860_c1_g1,0
Sym_105879_c3_g5,0
Sym_105881_c1_g2,0
Sym_105881_c1_g3,0
Sym_105884_c2_g4,1
Sym_105892_c6_g1,0
Sym_10589_c0_g1,0
Sym_105916_c0_g6,0
Sym_105917_c0_g1,0
Sym_105943_c2_g1,0
Sym_105943_c4_g1,0
Sym_105943_c4_g3,0
Sym_105973_c1_g1,1
Sym_105974_c0_g1,0
Sym_10597_c0_g1,1
Sym_105981_c0_g1,0
Sym_106029_c1_g1,1
Sym_106042_c1_g1,1
Sym_106042_c1_g2,0
Sym_106056_c1_g1,1
Sym_106056_c2_g2,0
Sym_106056_c2_g3,0
Sym_106065_c0_g1,0
