,kMEbrown
isogroupSym_103259_c1_g4,0.294495039136712
isogroupSym_103259_c2_g1,-0.755802038835451
isogroupSym_103264_c0_g1,0.508277382096749
isogroupSym_103270_c0_g1,-0.50615543929328
isogroupSym_103270_c0_g3,-0.113373868613356
isogroupSym_103270_c0_g4,-0.923228596590866
isogroupSym_103279_c2_g1,0.823403137183617
isogroupSym_103284_c0_g1,0.0458631759921713
isogroupSym_103284_c0_g3,-0.657691439026299
isogroupSym_103284_c0_g4,-0.268036916707995
isogroupSym_103301_c0_g1,0.445666323885888
isogroupSym_103304_c0_g1,-0.252159386267202
isogroupSym_103304_c0_g2,-0.0910059728563181
isogroupSym_103304_c0_g3,-0.192444518880991
isogroupSym_103304_c0_g4,0.685456496977675
isogroupSym_103312_c0_g1,-0.599769445789646
isogroupSym_103313_c5_g1,-0.65269410375134
isogroupSym_103340_c0_g1,-0.516268341672537
isogroupSym_103362_c0_g1,0.558187175994566
isogroupSym_103395_c0_g1,-0.582868596323189
isogroupSym_103410_c3_g5,-0.648254945347127
isogroupSym_103418_c0_g1,0.128070346038543
isogroupSym_103431_c6_g1,-0.0318252272635062
isogroupSym_103437_c1_g1,-0.264571412425187
isogroupSym_103437_c2_g1,-0.315141485991793
isogroupSym_103440_c0_g1,0.00120479590276747
isogroupSym_103441_c0_g1,-0.172509427203617
isogroupSym_103450_c0_g1,-0.585350078371233
isogroupSym_103487_c0_g1,0.717669942367753
isogroupSym_103490_c0_g1,0.653046096582147
isogroupSym_103496_c0_g1,0.533178129183535
isogroupSym_103506_c0_g1,-0.771623015408205
isogroupSym_103528_c0_g1,-0.35117707231759
isogroupSym_103546_c2_g1,0.171073218758125
isogroupSym_103554_c1_g2,-0.0546707416847991
isogroupSym_103560_c1_g11,-0.205301932971521
isogroupSym_103583_c3_g1,-0.831363244698665
isogroupSym_103585_c1_g1,-0.858481778275067
isogroupSym_103585_c1_g4,-0.490249008796525
isogroupSym_103595_c3_g1,-0.345501356942236
isogroupSym_103595_c7_g1,0.101289819846768
isogroupSym_103595_c7_g2,0.242592644553909
isogroupSym_103595_c7_g4,0.804820975376829
isogroupSym_103595_c8_g4,0.516616476865232
isogroupSym_103610_c0_g1,0.852960274387735
isogroupSym_103611_c10_g1,-0.834302374906244
isogroupSym_103611_c7_g1,0.0192923603142746
isogroupSym_103621_c0_g1,-0.315985915624397
isogroupSym_103643_c3_g3,-0.593965538099587
isogroupSym_103653_c0_g1,-0.464480740924056
isogroupSym_103660_c1_g1,0.691708806201701
isogroupSym_103679_c5_g1,-0.563518432189274
isogroupSym_103681_c0_g1,0.474464377761061
isogroupSym_103688_c0_g1,0.898929123505623
isogroupSym_103703_c0_g4,-0.871925664414642
isogroupSym_103720_c5_g10,-0.385604126863861
isogroupSym_103720_c5_g11,0.40787565639753
isogroupSym_103720_c5_g4,0.140496980375126
isogroupSym_103720_c5_g7,-0.64063128957539
isogroupSym_103744_c0_g1,0.931770684098562
isogroupSym_103750_c5_g1,0.393053824483531
isogroupSym_103750_c6_g1,0.423017031773586
isogroupSym_103755_c0_g1,-0.0908055030103331
isogroupSym_103761_c2_g1,0.211809619239198
isogroupSym_103763_c0_g1,-0.578621440963691
isogroupSym_103763_c2_g1,-0.123316229321391
isogroupSym_103763_c3_g2,-0.641589029532837
isogroupSym_103763_c4_g1,-0.265888495768843
isogroupSym_103763_c6_g1,0.618803572839903
isogroupSym_103763_c6_g2,0.552916967006123
isogroupSym_103763_c7_g3,0.348345715518808
isogroupSym_103763_c7_g5,0.556611559748144
isogroupSym_103766_c9_g1,0.546282571199335
isogroupSym_103778_c1_g1,0.348549970067734
isogroupSym_103784_c0_g1,0.742534318810051
isogroupSym_103784_c0_g2,-0.695161020613436
isogroupSym_103788_c0_g1,0.0103076668046663
isogroupSym_103788_c0_g5,0.688085685330343
isogroupSym_103800_c7_g2,0.332397803175597
isogroupSym_103800_c7_g3,-0.0723391014481795
isogroupSym_103804_c0_g1,0.860234307789293
isogroupSym_103830_c4_g3,0.0224069827636467
isogroupSym_10385_c0_g1,0.0221460835230472
isogroupSym_103877_c0_g1,-0.884671769450063
isogroupSym_103877_c0_g3,-0.606084723590279
isogroupSym_103894_c0_g1,0.137828623586227
isogroupSym_103894_c0_g2,0.646484015353075
isogroupSym_103894_c0_g4,-0.257838105409687
isogroupSym_103894_c1_g3,0.639653839926952
isogroupSym_103894_c1_g4,0.677466772581794
