,kMEturquoise
Sym_102798_c0_g2,-0.589277333763514
Sym_102798_c0_g3,0.406977678206735
Sym_102806_c2_g3,-0.0303273176084551
Sym_102806_c2_g4,-0.712043713533451
Sym_102825_c1_g2,-0.731391257866971
Sym_102848_c3_g1,-0.469349013887351
Sym_102873_c0_g1,-0.292346173529134
Sym_102873_c0_g2,-0.402768863822384
Sym_10287_c0_g1,-0.0578729919532006
Sym_10289_c0_g1,-0.723529423583669
Sym_102902_c2_g1,-0.0414221024202177
Sym_102918_c1_g1,0.137026109095908
Sym_102918_c1_g2,0.292604812644536
Sym_102918_c1_g3,0.538582382224098
Sym_102927_c0_g1,-0.721423262835225
Sym_102930_c1_g1,0.0144310594057668
Sym_102930_c4_g1,0.644480059072672
Sym_102930_c7_g1,0.594892650356554
Sym_102930_c7_g2,0.674860718572089
Sym_102930_c7_g4,0.265035321144647
Sym_102949_c1_g1,0.0270641920970104
Sym_102957_c2_g1,-0.778498396191085
Sym_102974_c1_g1,0.877371792900081
Sym_102974_c1_g2,-0.298313505684906
Sym_102976_c0_g1,-0.693006163776119
Sym_102979_c10_g1,0.206304389484538
Sym_102979_c12_g1,0.423774008312706
Sym_102979_c13_g1,-0.78802601275543
Sym_102979_c2_g1,0.0313445928600926
Sym_102979_c4_g1,-0.449253759844772
Sym_102979_c4_g2,0.818677263509645
Sym_102979_c7_g2,-0.514051800636743
Sym_102979_c7_g3,-0.234009708470536
Sym_102979_c9_g1,-0.37995002349865
Sym_102979_c9_g2,-0.373252144960986
Sym_102988_c1_g1,-0.522564218698296
Sym_102988_c1_g2,0.862143931152419
Sym_102992_c2_g1,-0.156152612182287
Sym_103005_c0_g1,-0.474402032963003
Sym_103005_c0_g2,-0.65192389263302
Sym_103012_c1_g1,0.602622682200672
Sym_103012_c2_g3,0.309172043455683
Sym_103012_c3_g1,-0.00261589612760548
Sym_103018_c0_g1,0.120205264805453
Sym_103019_c0_g1,0.310942417007749
Sym_103044_c3_g2,-0.16733466453321
Sym_103046_c0_g1,0.0591194827757787
Sym_103046_c1_g4,0.732649376814066
Sym_103056_c0_g1,-0.197182524894581
Sym_103066_c3_g3,0.346660938702262
Sym_103069_c0_g1,0.428334256150376
Sym_103069_c0_g2,0.0614134396687131
Sym_103069_c0_g3,-0.454192028960898
Sym_103070_c0_g2,0.0657193347597093
Sym_103089_c0_g1,-0.459066835567263
Sym_103091_c0_g1,0.322777632013593
Sym_103093_c3_g10,-0.122650169480682
Sym_103093_c3_g2,-0.495132196999144
Sym_103093_c3_g3,0.00672308846489324
Sym_103093_c3_g5,0.4762450862644
Sym_103093_c3_g8,-0.797760792548611
Sym_103097_c0_g1,0.898121991754621
Sym_103127_c6_g1,0.25546875518323
Sym_103171_c0_g1,-0.803517378496879
Sym_103193_c4_g1,0.252296555477631
Sym_103218_c0_g1,0.563603486893029
Sym_103226_c0_g1,-0.606339084070555
Sym_103226_c0_g2,0.71757561247518
Sym_103226_c0_g4,0.361964507003249
Sym_103226_c0_g5,0.0332523514480242
Sym_103230_c2_g1,0.571910163622226
Sym_103230_c3_g2,-0.129483717974334
Sym_103230_c3_g4,-0.124366298334862
Sym_103230_c4_g1,0.839856397541126
Sym_103230_c4_g2,0.514620259233467
Sym_103230_c4_g3,0.544483677655752
